Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
TAYLOR STREET-WYTHE AVENUE - Building 02,51 ROSS STREET,"BROOKLYN, NY 11249",Hot Water,Planned,04/28/25,10:00 AM,04/28/25 08:47 PM,1,108,232
TAYLOR STREET-WYTHE AVENUE - Building 03,611 WYTHE AVENUE,"BROOKLYN, NY 11249",Hot Water,Planned,04/28/25,11:00 AM,04/28/25 07:53 PM,1,88,175
TAYLOR STREET-WYTHE AVENUE - Building 05,70 CLYMER STREET,"BROOKLYN, NY 11249",Hot Water,Planned,04/28/25,06:19 PM,04/28/25 07:51 PM,1,103,240
TAYLOR STREET-WYTHE AVENUE - Building 01,626 WYTHE PLACE,"BROOKLYN, NY 11249",Hot Water,Planned,04/28/25,10:00 AM,04/28/25 07:42 PM,1,138,372
TAYLOR STREET-WYTHE AVENUE - Building 04,571 WYTHE AVENUE,"BROOKLYN, NY 11249",Hot Water,Planned,04/28/25,11:00 AM,04/28/25 06:44 PM,1,88,174
TAYLOR STREET-WYTHE AVENUE - Entire Development,626 WYTHE PLACE,"BROOKLYN, NY 11249",Heat,Unplanned,03/08/25,07:19 PM,03/08/25 11:30 PM,6,525,"1,193"
TAYLOR STREET-WYTHE AVENUE - Entire Development,626 WYTHE PLACE,"BROOKLYN, NY 11249",Hot Water,Unplanned,03/08/25,07:19 PM,03/08/25 11:20 PM,6,525,"1,193"
TAYLOR STREET-WYTHE AVENUE - Entire Development,626 WYTHE PLACE,"BROOKLYN, NY 11249",Heat,Unplanned,03/02/25,08:41 AM,03/02/25 02:22 PM,6,525,"1,193"
TAYLOR STREET-WYTHE AVENUE - Entire Development,626 WYTHE PLACE,"BROOKLYN, NY 11249",Hot Water,Unplanned,03/02/25,08:41 AM,03/02/25 02:13 PM,6,525,"1,193"
TAYLOR STREET-WYTHE AVENUE - Building 05,70 CLYMER STREET,"BROOKLYN, NY 11249",Hot Water,Planned,01/09/25,10:00 AM,01/09/25 06:41 PM,1,103,240
TELLER AVENUE-EAST 166TH STREET - Building 01,1100 TELLER AVENUE,"BRONX, NY 10456",Hot Water,Planned,03/25/25,02:00 PM,03/25/25 07:38 PM,1,90,161
TELLER AVENUE-EAST 166TH STREET - Entire Development,1100 TELLER AVENUE,"BRONX, NY 10456",Hot Water,Unplanned,01/21/25,05:15 AM,01/21/25 05:20 PM,1,90,161
